_id,contract.country,viewDate,Movies.Viewing PCT,Movies.Details.Director.Name
ObjectId(5e13ce3a054a095daa7a4054),Spain,2016-01-20,99,Sngmoo Lee
ObjectId(5e13ce3a054a095daa7a4055),Macedonia,2016-01-15,99,Paul W.S. Anderson
ObjectId(5e13ce3a054a095daa7a4056),Macedonia,2016-01-22,1,David Raynr
ObjectId(5e13ce3a054a095daa7a4057),Romania,2016-01-31,98,Louis Leterrier
ObjectId(5e13ce3a054a095daa7a4058),China,2016-01-02,12,Andrzej Bartkowiak
ObjectId(5e13ce3a054a095daa7a4059),"Micronesia, Federated States of",2016-01-31,98,Anne Fletcher
ObjectId(5e13ce3a054a095daa7a405a),"Micronesia, Federated States of",2016-01-28,46,Mark Rosman
ObjectId(5e13ce3a054a095daa7a405b),"Micronesia, Federated States of",2016-01-29,98,Louis Leterrier
ObjectId(5e13ce3a054a095daa7a405c),"Micronesia, Federated States of",2016-01-23,100,Shana Feste
ObjectId(5e13ce3a054a095daa7a405d),"Micronesia, Federated States of",2016-01-06,99,John McTiernan
ObjectId(5e13ce3a054a095daa7a405e),"Micronesia, Federated States of",2016-01-24,99,Joel Schumacher
ObjectId(5e13ce3a054a095daa7a405f),"Micronesia, Federated States of",2016-01-18,4,Eric Lartigau
ObjectId(5e13ce3a054a095daa7a4060),"Micronesia, Federated States of",2016-01-08,98,Eric Darnell
ObjectId(5e13ce3a054a095daa7a4061),"Micronesia, Federated States of",2016-01-27,100,Gary Hardwick
ObjectId(5e13ce3a054a095daa7a4062),"Micronesia, Federated States of",2016-01-26,100,Jan de Bont
ObjectId(5e13ce3a054a095daa7a4063),Jordan,2016-01-12,100,Barbet Schroeder
ObjectId(5e13ce3a054a095daa7a4064),Jordan,2016-01-30,98,Dennis Dugan
ObjectId(5e13ce3a054a095daa7a4065),Canada,2016-01-01,2,Atom Egoyan
ObjectId(5e13ce3a054a095daa7a4066),Canada,2016-01-04,100,Mark Pellington
ObjectId(5e13ce3a054a095daa7a4067),Canada,2016-01-24,100,Stuart Beattie
ObjectId(5e13ce3a054a095daa7a4068),Canada,2016-01-02,99,Darren Stein
ObjectId(5e13ce3a054a095daa7a4069),Canada,2016-01-28,1,Shawn Levy
ObjectId(5e13ce3a054a095daa7a406a),Iraq,2016-01-29,99,Jason Naumann
ObjectId(5e13ce3a054a095daa7a406b),Iraq,2016-01-31,99,Moustapha Akkad
ObjectId(5e13ce3a054a095daa7a406c),Iraq,2016-01-20,100,Shawn Levy
ObjectId(5e13ce3a054a095daa7a406d),Iraq,2016-01-23,98,Tom Kalin
ObjectId(5e13ce3a054a095daa7a406e),Iraq,2016-01-16,100,Michael Chapman
ObjectId(5e13ce3a054a095daa7a406f),Iraq,2016-01-06,98,John Bonito
ObjectId(5e13ce3a054a095daa7a4070),Turkey,2016-01-04,98,Eric Nicholas
ObjectId(5e13ce3a054a095daa7a4071),Turkey,2016-01-23,100,Alejandro Monteverde
ObjectId(5e13ce3a054a095daa7a4072),Turkey,2016-01-19,99,Mel Smith
ObjectId(5e13ce3a054a095daa7a4073),Turkey,2016-01-01,20,Mickey Liddell
ObjectId(5e13ce3a054a095daa7a4074),Turkey,2016-01-23,98,Ben Affleck
ObjectId(5e13ce3a054a095daa7a4075),Marshall Islands,2016-01-08,99,
ObjectId(5e13ce3a054a095daa7a4076),Marshall Islands,2016-01-09,99,Piyush Dinker Pandya
ObjectId(5e13ce3a054a095daa7a4077),Marshall Islands,2016-01-23,98,Mike Mitchell
ObjectId(5e13ce3a054a095daa7a4078),Marshall Islands,2016-01-16,62,Carlos Saldanha
ObjectId(5e13ce3a054a095daa7a4079),Marshall Islands,2016-01-03,99,Oren Peli
ObjectId(5e13ce3a054a095daa7a407a),Nicaragua,2016-01-29,99,Jay Duplass
ObjectId(5e13ce3a054a095daa7a407b),Nicaragua,2016-01-15,99,Patrick Lussier
ObjectId(5e13ce3a054a095daa7a407c),Nicaragua,2016-01-25,98,Kevin Smith
ObjectId(5e13ce3a054a095daa7a407d),Nicaragua,2016-01-13,99,Catherine Hardwicke
ObjectId(5e13ce3a054a095daa7a407e),Nicaragua,2016-01-07,98,DJ Pooh
ObjectId(5e13ce3a054a095daa7a407f),Portugal,2016-01-21,98,Paul W.S. Anderson
ObjectId(5e13ce3a054a095daa7a4080),Portugal,2016-01-12,100,Michael Schultz
ObjectId(5e13ce3a054a095daa7a4081),Montserrat,2016-01-14,48,Chris Columbus
ObjectId(5e13ce3a054a095daa7a4082),Montserrat,2016-01-19,100,Barrett Esposito
ObjectId(5e13ce3a054a095daa7a4083),Montserrat,2016-01-24,98,Barrett Esposito
ObjectId(5e13ce3a054a095daa7a4084),Montserrat,2016-01-08,100,Steven Spielberg
ObjectId(5e13ce3a054a095daa7a4085),Montserrat,2016-01-06,98,George A. Romero
ObjectId(5e13ce3a054a095daa7a4086),Montserrat,2016-01-20,99,Julian Jarrold
ObjectId(5e13ce3a054a095daa7a4087),Montserrat,2016-01-18,99,Richard Fleischer
ObjectId(5e13ce3a054a095daa7a4088),Montserrat,2016-01-18,100,David Lynch
ObjectId(5e13ce3a054a095daa7a4089),Montserrat,2016-01-25,99,David Wain
ObjectId(5e13ce3a054a095daa7a408a),Montserrat,2016-01-22,1,Juan Jos� Campanella
ObjectId(5e13ce3a054a095daa7a408b),Montserrat,2016-01-24,100,Oliver Stone
